year,Place,team_name,prize_usd,prize_percent
2011,1st,Natus Vincere,1000000,62.5
2011,2nd,EHOME,250000,15.625
2011,3rd,Scythe Gaming,150000,9.375
2012,1st,Invictus Gaming,1000000,62.5
2012,2nd,Natus Vincere,250000,15.625
2012,3rd,LGD Gaming,150000,9.375
2013,1st,Alliance,1437190,50.0
2013,2nd,Natus Vincere,632364,22.0
2013,3rd,Orange Esports,287438,10.0
2014,1st,Newbee,5025029,46.0
2014,2nd,Vici Gaming,1474737,13.5
2014,3rd,Evil Geniuses,1037778,9.5
2015,1st,Evil Geniuses,6634661,36.0
2015,2nd,CDEC Gaming,2856590,15.5
2015,3rd,LGD Gaming,2211554,12.0
2016,1st,Wings Gaming,9139002,44.0
2016,2nd,Digital Chaos,3427126,16.5
2016,3rd,Evil Geniuses,2180898,10.5
2017,1st,Team Liquid,10862683,44.0
2017,2nd,Newbee,3950067,16.0
2017,3rd,LGD.Forever Young,2592231,10.5
2018,1st,OG,11234158,44.0
2018,2nd,PSG.LGD,4085148,16.0
2018,3rd,Evil Geniuses,2680879,10.5
2019,1st,OG,15620181,45.5
2019,2nd,Team Liquid,4462908,13.0
2019,3rd,PSG.LGD,3089706,9.0
2021,1st,Team Spirit,18208300,45.5
2021,2nd,PSG.LGD,5202400,13.0
2021,3rd,Team Secret,3601600,9.0
